sentence_id,source,label,tfidf_logistic_regression_probability,tfidf_logistic_regression_prediction,pytorch_textcnn_probability,pytorch_textcnn_prediction,distilbert_probability,distilbert_prediction
sentence_03b6ce65b596ded4b77dc285976459577484deb92452101bff2b9f6c27971543,yelp,1,0.7201400091185067,1,0.32989925146102905,0,0.9948354,1
sentence_0429fb750b5c098074fae53203e65814193162a66a342ea5bd6be23a478d04c4,yelp,0,0.37999591416381356,0,0.27863895893096924,0,0.5856768,1
sentence_04d756071c80c66eab1548f15606633279a261209918a302986ce25c59634d0d,imdb,1,0.525530194514693,1,0.31147074699401855,0,0.9355156,1
sentence_05251c571aef8ad9d62672155fa15028e470bc69cd2861b6cc08080176bd8956,amazon,1,0.6636281904266095,1,0.4480085074901581,0,0.9954821,1
sentence_093efce8065e826ca099655be116f4b700c23db564c765b453b9acd9cff071d6,yelp,1,0.5563354455367834,1,0.4390265643596649,0,0.66063726,1
sentence_0eb3b630f4c52a0107a1c66c31a03b83701f43a11b35c7aced5a55f3a6c54bda,yelp,0,0.6410548110617753,1,0.7824452519416809,1,0.009986186,0
sentence_0edd39335c0467b900fa089319ca1fe77c3b2c24b3f48e2c7560186c17081503,amazon,1,0.6926757210723705,1,0.41371750831604004,0,0.99368757,1
sentence_0f08e16f080c6c6f9f686d14e10e0de5f07c653c094ddb48757696541be10d49,amazon,0,0.18693432108246572,0,0.542892575263977,1,0.012601658,0
sentence_0f810abbd49718d6c081293812102bf46d7dd9b7735369ce0f7d6e2af6b5ae02,imdb,1,0.6092308139004569,1,0.3604975640773773,0,0.98239845,1
sentence_129f6d85e278d0a33440b82d69b203e8a5b0f605e3d59772ee05f6b38f7cec24,yelp,1,0.4536641743608081,0,0.8659239411354065,1,0.9856483,1
sentence_1652d94767e4a5263a0591369ec4e2f64a77ec4d07ff38488d8d5664ad83c21b,amazon,0,0.43814308222320814,0,0.27849966287612915,0,0.9791256,1
sentence_1a2bcafd1eec2d9373e7a7958dba01d1f8ea6fae0dbfde17898af4fa0e6262ef,amazon,0,0.5323262483438734,1,0.7072829008102417,1,0.011355867,0
sentence_1ac853c385dbac734c17d360da6cf0d92a78c7c86aa9df53140561d5e5957019,yelp,1,0.4761555255469727,0,0.479665607213974,0,0.98426175,1
sentence_1c563fc5f5d4bf30f0bfe9c98772e3efb1b546c74fee887e23fb249a17c553cf,yelp,1,0.3036706348494795,0,0.3382366895675659,0,0.91119254,1
sentence_1d8845db9e6beb10133d7f5b00105f92485df80d7b4e18169dc347a6381de1e2,amazon,0,0.614985396595216,1,0.658778727054596,1,0.011207948,0
sentence_1f8927e4b0c70fbcf440b6b7d620b283bab23dd95b2c958972abb1c56c96e905,imdb,1,0.5074087029319758,1,0.17260247468948364,0,0.9952545,1
sentence_1fa1a4f8d3f0e3c13dea357f58ed11dd714b3a6c0a6410055446a69274fe25b6,yelp,0,0.7093405100790254,1,0.7400140762329102,1,0.020464204,0
sentence_218e40ef8c7c3c88d784f1687db8475bedac73e632d21d90892c47e08ca1825c,yelp,0,0.5246683762399946,1,0.8003958463668823,1,0.0108499015,0
sentence_24c1e53b499e3bc309ea17b6704d836fba6bfa1d74f19281812e8c4e2720a393,imdb,0,0.47719054341846245,0,0.6331776976585388,1,0.00853018,0
sentence_24f70565c08ee27440b3f510bd708d9e24782b1dd339cec1e69b8ae336721bb9,imdb,1,0.5784847962589275,1,0.4442439675331116,0,0.99491656,1
sentence_26e6a401999f711db58015055892c7465db883369c786c87d8cfb1984170ffed,yelp,1,0.6382171673618412,1,0.48925450444221497,0,0.993568,1
sentence_2c879084e22d8c38504f89dd4a7cf2ae194d4ee6f8ff6de6c9049b4ea2deac0b,yelp,1,0.6673577753190739,1,0.39959684014320374,0,0.99188095,1
sentence_2cfe1347def24dd6eebcc027bc6e842051baa594d2f319a92c815118b7294858,yelp,0,0.38150411851234434,0,0.5909591317176819,1,0.042376034,0
sentence_2dafca174c8cfa6cc9bd92286723ed7d68d8b81bcc47c52c10675960a1383509,amazon,0,0.513267108174991,1,0.7600179314613342,1,0.011181035,0
sentence_303571d86898e702fe320f04ff72e2b6f72ba733efd2762e6610cf08c01a172e,imdb,0,0.5687538767351463,1,0.8252937197685242,1,0.009705694,0
sentence_30af190a301f9851b28ec16a7c651e77f447958520960ae767e39334a00c0cf5,amazon,1,0.44506418927418095,0,0.5467880368232727,1,0.977896,1
sentence_30dedde0b3cd9e3e79dcfa373e27c210969212279008ead50809883fa3caa5be,yelp,1,0.5862817586071312,1,0.3715672791004181,0,0.7526907,1
sentence_311ed3af3b4aaf250af687416071d1a277478c17b2aa631b22e401c3fc05a744,amazon,0,0.5821272495408931,1,0.4972149431705475,0,0.010619765,0
sentence_32a41eb7a5bbb5b58091e9bf29fedfb4db990b0f7acb3e15b2d8d3e490d80144,imdb,0,0.416266923679162,0,0.5123653411865234,1,0.007959133,0
sentence_3305da73e3a93ea67b8148e9d463359806946ff5ff2384b73b1975671e3023eb,yelp,1,0.49384416017555977,0,0.37090450525283813,0,0.702944,1
sentence_33dd374bb5a03351010350892ed82aee565479d9765d43d6349fdc303ea9ee65,amazon,1,0.4740259707926111,0,0.39687299728393555,0,0.99297076,1
sentence_35133e30d84eecaa6d7ba64e94b14f391ebd03d52eb361b5b4afd884054e0c65,yelp,1,0.7162966883866358,1,0.49219170212745667,0,0.9939593,1
sentence_3535bd865e9183c989617960a555632aafd17ff3468060cca47a2e4efd96e95d,yelp,1,0.6768598650335212,1,0.41562119126319885,0,0.9958014,1
sentence_3562798ba1cadfb68976831008148e3eca89b3edc5f10f2ec67fd4bcfbdbeb1c,imdb,1,0.4779317999892091,0,0.04544927552342415,0,0.9924023,1
sentence_35d43bb99b707b4d9bf1056269e92f00eec12f84d7f9a67cc7fdfdaa7eca0569,amazon,1,0.670364259509649,1,0.49147894978523254,0,0.9872076,1
sentence_36c962149686a4ac516f10a625ad38c2d7a39498bd63c4dd0dd8298f0264f6cd,imdb,0,0.7805505750799057,1,0.6786636114120483,1,0.01269442,0
sentence_386b281f237ebe568301c04a92a23e7f5831dfdb5e57e753002fc9fc8b16d123,yelp,1,0.48510345987576287,0,0.516859233379364,1,0.9950966,1
sentence_387a46094516ccf25da83c2c47de2e1c3855802bf338d3e8f1fd5fe346478c8a,imdb,0,0.5262213802570974,1,0.16628991067409515,0,0.010636638,0
sentence_389a54faffe585664d089ebe702be617db6b68d2767293d2417a7528bae36bf4,yelp,1,0.8089408684297941,1,0.4949527680873871,0,0.9954659,1
sentence_3a79fc6586f496fefde5c78c294e27fcd483133333872b74e39d92fb03ca15c0,yelp,1,0.49276771751688564,0,0.21824872493743896,0,0.9931432,1
sentence_3aa630842fdfc65abeaabb83379f188be8bfa52910049437aff45bdacc4cdf1f,imdb,0,0.32928451336991543,0,0.20741607248783112,0,0.85563755,1
sentence_3b0e2d374d9b40a0fcca51030d42d85bfa5bee93d2a0688c60432194dd122804,amazon,0,0.518078823123704,1,0.08622989058494568,0,0.008309592,0
sentence_3c4171684acdbd1c7d0dd6415214b1fbe35b2f6e2ba47ef1dd5688d4772ab667,amazon,0,0.4142869806233458,0,0.5379546284675598,1,0.03119054,0
sentence_3c73021d7744078e2eddfcafd13871a05c54a50180f491c748f912caf8ab4805,amazon,0,0.3067855452946261,0,0.5096932649612427,1,0.75315523,1
sentence_3dfb172e36e578e4d8da10ea5a31aa602adc1f172130400e592d4bf66b3fcc76,imdb,0,0.55151032289242,1,0.623011589050293,1,0.009330128,0
sentence_40041ed3f105730b8bf6adc3dc658e6d2c15f9728c849504190df976a91e14d7,imdb,0,0.6043227917007936,1,0.2602439224720001,0,0.041162167,0
sentence_430117918ab643c886ac2ac043bbacb6dca9657a8a9b08134a30588a550bad82,yelp,0,0.23308092493313134,0,0.5832377076148987,1,0.021499373,0
sentence_471d008a247875b3ed57b746d82f2e4f51fa73a6871b9cf687cb826a4728c0d5,imdb,0,0.5246004266497081,1,0.4146862328052521,0,0.011285744,0
sentence_48ba9419292a95d11ebcd168980a494c37dc0d61d46f7cf945dab5f3226f92a1,imdb,1,0.6122712094994566,1,0.346733033657074,0,0.99354035,1
sentence_4910a918071adf0a539ab6c8decc4a748b633dc2041cf49126b0b403aa5d2dfb,amazon,0,0.2873791651080547,0,0.09301795065402985,0,0.98433304,1
sentence_4a57b77e83986710ee8862daaafc8301d6982f5ea8e05b3fce148b36b4e87156,imdb,0,0.7539929858981678,1,0.6555123925209045,1,0.01511252,0
sentence_4af0e6192a7cba6bfad3c57c5cb30a852df7ee82234d82bfd4a20b393392d2de,imdb,0,0.5262868403159817,1,0.7719414234161377,1,0.05963943,0
sentence_4b2662c6a91342a09f86ef19a5147aa2ba343b866b0eeb98be08b04c69689ffd,imdb,0,0.5778233414023737,1,0.6664328575134277,1,0.013639169,0
